Date,Children apprehended and placed in CBP custody*,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,Lag_1,Lag_7,Lag_14,Rolling_Mean_7,Rolling_STD_7,Net_Pressure,Day_of_Week,Month,Day
2023-02-09,124.0,234.0,161.0,7908,353.0,7915.0,7803.0,6566.0,7823.714285714285,124.51467689354465,-192.0,3,2,9
2023-02-12,92.0,203.0,173.0,7434,317.0,7908.0,7903.0,7122.0,7756.714285714285,185.82762109520763,-144.0,6,2,12
2023-02-13,186.0,259.0,172.0,7483,244.0,7434.0,7879.0,7280.0,7700.142857142857,201.9714737047677,-72.0,0,2,13
2023-02-14,154.0,225.0,220.0,7794,223.0,7483.0,7586.0,7433.0,7729.857142857143,197.63386060374933,-3.0,1,2,14
2023-02-15,91.0,199.0,172.0,7869,290.0,7794.0,7720.0,7538.0,7751.142857142857,204.3064924498047,-118.0,2,2,15
2023-02-16,81.0,213.0,153.0,7793,361.0,7869.0,7855.0,7472.0,7742.285714285715,200.35943891392802,-208.0,3,2,16
2023-02-20,209.0,285.0,184.0,7817,209.0,7793.0,7915.0,7743.0,7728.285714285715,189.40407799702763,-25.0,0,2,20
2023-02-21,184.0,314.0,217.0,7967,213.0,7817.0,7908.0,7803.0,7736.714285714285,199.7637890824329,4.0,1,2,21
2023-02-22,107.0,215.0,230.0,7978,232.0,7967.0,7434.0,7903.0,7814.428571428572,165.19670814199426,-2.0,2,2,22
2023-02-23,101.0,162.0,178.0,7914,386.0,7978.0,7483.0,7879.0,7876.0,78.81624198094237,-208.0,3,2,23
2023-02-26,99.0,190.0,176.0,7609,323.0,7914.0,7794.0,7586.0,7849.571428571428,127.1139346450695,-147.0,6,2,26
2023-02-27,167.0,239.0,166.0,7800,248.0,7609.0,7869.0,7720.0,7839.714285714285,128.02827068751958,-82.0,0,2,27
2023-02-28,115.0,216.0,169.0,7896,200.0,7800.0,7793.0,7855.0,7854.428571428572,127.68301524067704,-31.0,1,2,28
