,predicted_mean
564,2424.3067794961353
565,2428.2161465280446
566,2429.0650150490465
567,2432.2852298536072
568,2443.6231315248983
569,2452.043424619173
570,2454.1385763952685
571,2455.1216124306998
572,2459.1081047286025
573,2466.8128105138935
574,2471.6936286602627
575,2472.901153065971
576,2474.1620074817433
577,2477.8261186089417
578,2482.8926879515157
579,2485.7000016949196
580,2486.5278669493005
581,2487.900306760968
582,2490.8634613200816
583,2494.1100796212563
584,2495.739174060314
585,2496.41253509152
586,2497.719035245766
587,2499.943585255432
588,2501.9853293990577
589,2502.9623175026586
590,2503.556613013955
591,2504.6879227996437
592,2506.277202198513
593,2507.5480082538156
